h2,ch4,c2h6,c2h4,c2h2,fault
46.0,147.0,27.0,150.0,0.0001,6.0
10.0,56.0,72.0,70.0,0.001,4.0
14.0,15.0,42.0,73.0,0.001,5.0
16.0,68.0,157.0,19.0,0.001,4.0
37.0,96.0,19.0,57.0,0.001,5.0
121.0,450.0,146.0,898.0,116.0,6.0
53.0,150.0,64.0,379.0,0.001,6.0
60.0,5.0,2.0,21.0,21.0,3.0
99.0,288.0,73.0,386.0,0.001,6.0
16.0,98.0,35.0,64.0,0.0001,5.0
1790.0,580.0,321.0,336.0,619.0,2.0
260.0,215.0,35.0,334.0,277.0,3.0
50.0,274.0,95.0,320.0,6.3,5.0
18.0,63.0,20.0,51.0,0.0001,5.0
4230.0,690.0,5.0,196.0,1180.0,2.0
385.0,60.0,8.0,53.0,159.0,2.0
34.0,8.6,70.3,3.1,0.001,4.0
103.5,4.7,16.3,3.5,0.001,1.0
110.0,7.0,0.001,0.001,0.001,1.0
12.0,28.0,102.0,3.0,0.001,4.0
47.0,120.0,90.0,198.0,3.0,5.0
113.0,137.0,173.0,34.0,0.001,4.0
30.0,14.0,1.0,9.0,43.0,3.0
109.0,102.0,28.0,91.0,0.001,5.0
217.0,286.0,14.0,458.0,884.0,3.0
12.0,270.0,0.001,275.0,0.001,6.0
95.0,110.0,160.0,50.0,0.001,4.0
45.0,125.0,111.0,25.0,0.001,4.0
220.0,340.0,42.0,480.0,14.0,6.0
31.0,63.0,246.0,714.0,7.0,5.0
0.001,6.0,52.0,67.0,0.001,5.0
10092.0,5399.0,530.0,6500.0,37565.0,2.0
205.0,20.0,8.0,0.001,6.0,2.0
94.96,4.37,0.62,0.02,0.02,1.0
123.0,50.7,9.0,62.0,65.9,3.0
1860.0,4980.0,0.001,10700.0,1600.0,6.0
0.001,4.9,81.0,172.0,0.001,5.0
230.0,15.9,16.3,1.9,2.4,1.0
8266.0,1061.0,22.0,0.001,0.001,1.0
121.0,73.0,179.0,11.0,0.001,4.0
86.0,480.0,155.0,644.0,9.0,6.0
35.0,283.0,121.0,222.0,0.001,5.0
0.0001,10.0,17.0,68.0,5.0,6.0
127.0,24.0,0.0001,32.0,81.0,3.0
870.0,77.0,73.0,54.0,14.0,1.0
6.0,197.0,476.9,16.9,0.001,4.0
27.0,90.0,42.0,63.0,0.2,5.0
18.0,30.0,146.0,8.0,0.0001,4.0
74.0,173.0,263.0,33.0,0.001,4.0
27.0,51.0,0.0001,153.0,0.0001,6.0
187.0,5.0,1.0,0.0001,0.0001,1.0
88.0,9.0,0.0001,0.03,0.0001,1.0
37.0,123.0,67.0,52.0,0.001,4.0
60.0,10.0,4.0,4.0,4.0,2.0
0.67,0.224,0.045,0.067,0.002,5.0
8200.0,3790.0,250.0,4620.0,277.0,3.0
18.34,16.26,3.38,17.95,16.42,3.0
16.0,68.0,124.0,15.0,0.001,4.0
24700.0,61000.0,26300.0,42100.0,1560.0,5.0
225.0,4.7,0.0001,8.7,89.0,2.0
33046.0,619.0,58.0,2.0,0.001,1.0
254.0,5.2,0.001,9.3,88.0,2.0
78.0,161.0,86.0,353.0,10.0,6.0
543.0,120.0,41.0,411.0,1880.0,2.0
301.0,5.78,4.7,9.7,5.0,2.0
2.0,123.0,7.0,18.0,0.001,5.0
127.0,107.0,11.0,154.0,224.0,3.0
650.0,53.0,35.0,20.0,0.0001,1.0
21.0,42.0,4.0,92.0,0.0001,6.0
1000.0,500.0,1.0,400.0,500.0,2.0
290.0,966.0,299.0,1810.0,57.0,6.0
11.0,13.0,2.0,127.0,0.001,6.0
101.0,8.1,0.001,3.0,0.001,1.0
170.0,320.0,53.0,520.0,3.2,6.0
1230.0,163.0,27.0,233.0,692.0,2.0
109.0,16.0,0.001,0.001,0.001,1.0
160.0,24.7,38.5,0.001,0.001,1.0
172.9,334.0,172.0,812.5,37.7,6.0
15.0,159.0,29.0,87.0,0.001,5.0
32.4,5.5,1.4,12.6,13.2,3.0
16.0,105.0,224.0,15.0,0.0001,4.0
86.0,8.0,2.5,2.5,0.0001,4.0
6709.0,10500.0,1400.0,17700.0,750.0,6.0
157.0,46.0,76.0,12.0,0.001,4.0
13.0,59.0,117.0,44.0,0.001,4.0
160.0,130.0,33.0,96.0,0.1,5.0
55.0,22.0,358.0,2.6,0.0001,4.0
505.57,475.35,242.3,524.45,3.29,4.0
135.0,27.0,24.0,9.0,13.0,2.0
63.0,22.0,15.0,11.0,76.0,3.0
5900.0,1500.0,68.0,1200.0,800.0,3.0
80.0,28.0,4.0,15.0,107.0,3.0
290.0,966.0,299.0,1810.0,57.0,6.0
119.0,8.0,20.0,0.001,21.0,2.0
274.0,27.0,5.0,33.0,97.0,2.0
13.0,3.0,1.0,3.0,6.0,3.0
130.0,140.0,2.0,120.0,0.001,4.0
15.0,7.0,92.0,5.0,0.0001,4.0
36036.0,4704.0,554.0,5.0,10.0,1.0
113.0,21.0,48.0,0.001,4.0,1.0
53.0,189.0,25.0,295.0,5.0,6.0
4127.0,267.0,18.0,355.0,2060.0,2.0
151.0,242.0,68.0,232.0,0.001,5.0
13500.0,6110.0,212.0,4510.0,4040.0,3.0
43.0,116.0,65.0,139.0,0.001,5.0
150.0,22.0,9.0,60.0,11.0,6.0
32930.0,2397.0,157.0,0.0001,0.0001,1.0
185.0,302.0,27.0,33.0,0.0001,5.0
179.0,306.0,73.0,579.0,0.0001,6.0
56.0,61.0,75.0,32.0,31.0,2.0
78.0,161.0,86.0,353.0,10.0,6.0
5100.0,1430.0,0.0001,1140.0,1010.0,3.0
26.0,398.0,85.0,319.0,0.001,5.0
200.0,48.0,14.0,117.0,131.0,3.0
39.0,525.0,538.0,2925.0,16.0,6.0
135.0,27.0,24.0,9.0,13.0,2.0
137.0,97.0,12.0,29.0,1.5,4.0
485.0,35.0,29.0,6.0,0.0001,1.0
20.0,19.0,45.0,77.0,0.001,6.0
20.0,48.0,36.0,186.0,0.001,6.0
10.0,24.0,80.0,5.0,0.0001,4.0
407.0,28.0,15.0,21.0,0.001,1.0
119.0,8.0,23.3,7.9,12.3,2.0
476.0,28.0,27.0,36.0,148.0,2.0
32.4,5.5,1.4,12.6,13.2,3.0
180.0,175.0,75.0,50.0,4.0,5.0
315.0,60.0,14.0,93.0,218.0,2.0
35.0,29.0,7.0,78.0,0.001,6.0
41.0,16.0,19.0,58.0,106.0,3.0
7940.0,2000.0,355.0,3120.0,5390.0,3.0
137.0,67.0,7.0,53.0,104.0,3.0
645.0,86.0,13.0,110.0,317.0,2.0
121.0,73.0,179.0,11.0,0.001,4.0
2091.0,149.0,20.0,3.0,0.001,1.0
150.0,130.0,9.0,55.0,30.0,3.0
120.0,25.0,1.0,8.0,40.0,2.0
92.8,6.75,0.44,0.0001,0.0001,1.0
1570.0,1110.0,175.0,1780.0,1830.0,3.0
169.0,38.0,48.5,6.5,5.8,2.0
2850.0,1115.0,138.0,1987.0,3675.0,3.0
10000.0,6730.0,345.0,7330.0,10400.0,3.0
2240.0,360.0,25.0,169.0,828.0,1.0
187.0,5.0,1.0,0.001,0.001,1.0
150.0,130.0,9.0,55.0,30.0,3.0
35.0,29.0,7.0,78.0,0.0001,6.0
137.0,279.0,66.0,505.0,0.001,6.0
27.0,90.0,42.0,63.0,0.2,5.0
208.0,7.6,27.5,9.7,14.4,2.0
1458.0,9.0,1812.0,0.001,0.001,1.0
29.0,71.0,158.0,20.0,0.001,4.0
75.0,5.0,31.0,69.0,36.0,3.0
101.72,27.65,7.13,16.92,53.87,2.0
234.5,30.28,6.11,47.69,175.88,2.0
225.0,4.7,0.001,8.7,89.0,2.0
30.1,17.1,2.2,5.5,30.1,2.0
1100.0,1600.0,221.0,2010.0,26.0,6.0
157.0,46.0,76.0,12.0,0.0001,4.0
160.0,130.0,33.0,96.0,0.001,4.0
25.0,28.0,27.0,15.0,80.0,3.0
629.0,402.0,16.0,298.0,1127.0,3.0
32930.0,2397.0,157.0,0.001,0.001,1.0
34.0,174.0,52.0,361.0,0.001,6.0
300.0,700.0,280.0,1700.0,36.0,6.0
25.0,49.0,42.0,58.0,0.0001,5.0
92600.0,10200.0,0.001,0.001,0.001,1.0
345.0,112.3,27.5,51.5,58.8,2.0
119.0,670.0,286.0,934.0,19.0,5.0
235.46,333.59,177.52,1201.85,148.87,3.0
56.0,61.0,75.0,32.0,31.0,1.0
420.0,250.0,41.0,530.0,800.0,3.0
59.0,119.0,36.0,70.0,0.0001,5.0
1550.0,2740.0,816.0,5450.0,184.0,6.0
4419.0,3564.0,668.0,2861.0,2025.0,3.0
0.0001,6.0,52.0,67.0,0.0001,5.0
180.0,175.0,75.0,50.0,4.0,5.0
10.0,4.0,1.0,87.0,0.001,6.0
720.0,7.0,0.0001,15.0,101.0,2.0
385.0,60.0,8.0,53.0,159.0,2.0
240.0,20.0,5.0,28.0,96.0,2.0
109.0,102.0,28.0,91.0,0.001,5.0
120.0,25.0,1.0,8.0,40.0,2.0
800.0,160.0,23.0,260.0,600.0,3.0
210.0,22.0,6.0,6.0,7.0,2.0
100.0,18.0,0.0001,0.0001,0.0001,1.0
119.0,670.0,286.0,934.0,19.0,5.0
4.0,2.0,1.0,63.0,0.0001,6.0
27.0,90.0,42.0,73.0,0.2,4.0
8266.0,1061.0,22.0,0.0001,0.0001,1.0
179.0,306.0,73.0,579.0,0.001,6.0
2500.0,10500.0,4790.0,13500.0,6.0,6.0
103.5,4.7,16.3,3.5,0.0001,1.0
135.65,278.53,58.86,492.0,2.95,6.0
3420.0,7870.0,1500.0,6990.0,33.0,6.0
50.0,100.0,51.0,305.0,9.0,6.0
300.0,490.0,180.0,360.0,95.0,5.0
153.0,18.0,9.0,0.001,278.0,2.0
19.0,12.0,2.0,8.0,63.0,3.0
26788.0,18342.0,2111.0,27.0,0.001,1.0
24.0,78.0,266.0,779.0,7.0,5.0
105.0,23.0,13.0,4.0,3.0,1.0
24.0,109.0,69.0,0.001,0.001,4.0
109.0,19.0,5.0,12.0,59.0,2.0
80.0,619.0,326.0,2480.0,0.001,5.0
35.1,50.6,16.1,93.0,1.1,6.0
24.0,20.0,4.0,87.0,0.001,6.0
78.0,66.0,62.0,2.6,0.0001,4.0
60.0,85.0,5.0,67.0,227.0,3.0
33046.0,619.0,58.0,2.0,0.0001,1.0
1100.0,1600.0,221.0,2010.0,26.0,6.0
47.0,9.0,4.0,16.0,81.0,3.0
164.0,244.0,103.0,497.0,8.3,6.0
507.0,1053.0,297.0,1440.0,17.0,5.0
7020.0,1850.0,0.001,2960.0,4410.0,3.0
35.0,11.0,0.001,7.0,146.0,3.0
2240.0,560.0,380.0,450.0,940.0,1.0
27.0,49.0,192.0,9.0,0.001,4.0
1309.0,124.0,113.0,6.0,0.0001,1.0
2.0,123.0,7.0,18.0,0.001,5.0
1114.0,719.0,188.0,1217.0,699.0,3.0
980.0,73.0,58.0,12.0,0.001,1.0
0.001,28.0,64.0,408.0,6.0,6.0
134.0,13.0,267.0,0.001,0.001,1.0
101.0,8.1,0.0001,3.0,0.0001,1.0
716.0,7.1,3.3,20.0,6.8,2.0
142.0,17.0,4.0,7.0,38.0,2.0
115.0,129.0,316.0,36.0,0.0001,4.0
1820.0,405.0,35.0,365.0,634.0,3.0
12.0,270.0,0.0001,275.0,0.0001,6.0
5900.0,1500.0,68.0,1200.0,2300.0,3.0
197.0,12.0,6.6,15.0,0.0001,1.0
800.0,1393.0,304.0,2817.0,3000.0,3.0
43.0,116.0,65.0,139.0,0.0001,5.0
30.4,117.0,44.2,138.0,0.1,5.0
60.0,5.0,2.0,21.0,21.0,3.0
625.0,49.0,9.0,7.0,0.6,1.0
8.0,88.0,45.0,252.0,0.0001,6.0
95.0,10.0,0.001,11.0,39.0,2.0
650.0,53.0,35.0,20.0,0.001,1.0
0.001,106.0,170.0,871.0,6.0,6.0
243.0,127.0,20.0,122.0,588.0,3.0
0.001,3.4,0.001,54.0,0.001,6.0
169.0,38.0,48.5,6.5,5.8,2.0
53.0,150.0,64.0,379.0,0.001,6.0
8.0,88.0,45.0,252.0,0.001,6.0
22.0,14.0,19.0,6.0,56.0,3.0
56.0,61.0,75.0,32.0,31.0,1.0
57.0,24.0,2.0,27.0,30.0,2.0
10.0,26.0,147.0,6.0,0.0001,4.0
10092.0,5399.0,530.0,6500.0,37565.0,2.0
134.0,13.0,156.0,0.001,0.001,1.0
11.0,46.0,155.0,18.0,0.0001,4.0
870.0,77.0,73.0,54.0,14.0,1.0
181.5,22.0,76.0,3.7,0.001,1.0
181.0,162.0,70.0,132.0,0.0001,4.0
69.0,174.0,267.0,15.0,0.001,4.0
13.0,59.0,117.0,44.0,0.001,4.0
15.0,159.0,29.0,87.0,0.0001,5.0
42.0,124.0,1.0,8.0,0.001,4.0
9.0,38.0,93.0,8.0,0.0001,4.0
166.0,21.0,38.0,6.0,0.001,1.0
16.4,45.5,68.7,3.8,0.001,4.0
2850.0,1115.0,138.0,1987.0,3675.0,3.0
2004.0,9739.0,2750.0,5113.0,0.0001,5.0
31.2,8.9,119.0,4.4,0.001,4.0
34.0,174.0,52.0,361.0,0.0001,6.0
151.0,242.0,68.0,232.0,0.0001,5.0
8800.0,64064.0,72128.0,95650.0,0.001,6.0
5100.0,1430.0,0.001,1140.0,1010.0,3.0
99.0,288.0,73.0,386.0,0.0001,6.0
0.0001,106.0,170.0,871.0,6.0,6.0
4127.0,267.0,18.0,355.0,2060.0,2.0
79.0,40.0,264.0,10.0,0.0001,4.0
19.0,62.0,95.0,5.0,0.0001,4.0
6454.0,2313.0,121.0,2159.0,6432.0,2.0
19.3,103.0,159.0,19.0,0.6,6.0
85.0,98.0,315.0,30.0,0.0001,4.0
8200.0,3790.0,250.0,4620.0,5830.0,3.0
26.6,4.0,0.001,8.0,50.0,3.0
20.0,132.0,61.0,17.0,0.0001,4.0
19.0,48.0,76.0,18.0,0.001,4.0
870.0,77.0,73.0,54.0,14.0,1.0
30.4,117.0,44.2,138.0,0.1,5.0
2500.0,10500.0,4790.0,13500.0,6.0,6.0
235.0,16.0,0.0001,35.0,0.0001,1.0
0.0001,0.0001,0.0001,142.0,0.0001,6.0
88.7,460.8,94.9,184.6,18.3,5.0
0.001,0.001,9.0,57.0,0.001,6.0
6709.0,10500.0,1400.0,17700.0,750.0,6.0
1651.0,90.0,33.0,45.0,2.0,1.0
153.0,18.0,9.0,0.0001,11.0,2.0
1230.0,163.0,27.0,233.0,692.0,2.0
595.0,32.0,4.0,18.0,65.0,2.0
4879.0,262.0,15.0,332.0,1827.0,2.0
137.0,33.0,8.0,29.0,111.0,2.0
160.0,130.0,33.0,96.0,0.001,4.0
63.0,22.0,15.0,11.0,76.0,3.0
0.001,43.0,146.0,9.0,0.001,4.0
235.0,16.0,0.001,35.0,0.001,1.0
63.0,22.0,15.0,11.0,76.0,3.0
650.0,53.0,35.0,20.0,0.001,1.0
1076.0,95.0,4.0,71.0,231.0,1.0
17.0,40.0,11.0,86.0,0.0001,6.0
4230.0,690.0,5.0,196.0,1180.0,2.0
1000.0,500.0,1.0,400.0,500.0,2.0
10.0,15.0,0.0001,0.0001,35.0,3.0
820.0,1740.0,951.0,867.0,128.0,4.0
60.0,10.0,0.0001,11.0,39.0,2.0
625.0,130.0,47.0,2.0,0.0001,4.0
179.0,306.0,73.0,579.0,0.001,6.0
1458.0,9.0,1812.0,0.001,0.001,1.0
86.0,480.0,155.0,644.0,9.0,6.0
78.0,66.0,283.0,2.6,0.001,4.0
2177.0,1049.0,207.0,440.0,705.0,2.0
2510.0,202.0,139.0,208.0,1730.0,2.0
200.0,230.0,2.0,170.0,480.0,1.0
16000.0,3600.0,670.0,14.0,0.0001,1.0
0.001,116.0,70.0,0.001,0.001,4.0
183.0,6.0,0.001,5.0,0.001,1.0
441.0,207.0,43.0,224.0,261.0,3.0
2.0,123.0,7.0,18.0,0.0001,5.0
13.0,59.0,117.0,44.0,0.0001,4.0
1950.0,123.0,38.0,2.0,2.0,1.0
73.0,177.0,37.0,52.0,0.001,5.0
74.0,173.0,263.0,33.0,0.001,4.0
36.0,167.0,230.0,18.0,0.001,4.0
124.0,14.0,4.0,0.001,13.0,2.0
78.0,20.0,11.0,13.0,28.0,2.0
243.0,127.0,20.0,122.0,588.0,3.0
181.5,22.0,76.0,3.7,0.0001,1.0
7.0,31.0,23.0,148.0,0.0001,6.0
1860.0,4980.0,0.0001,10700.0,1600.0,6.0
220.0,340.0,42.0,480.0,14.0,6.0
32.4,5.5,1.4,12.6,13.2,3.0
39.0,525.0,538.0,2925.0,16.0,6.0
63.0,149.6,57.5,276.0,0.0001,6.0
110.6,458.8,242.6,406.4,0.0001,5.0
170.0,320.0,53.0,520.0,3.2,6.0
4.0,1.0,2.0,7.0,52.0,2.0
15.55,7.4,7.4,41.93,6.35,6.0
210.0,22.0,6.0,6.0,7.0,2.0
151.0,13.5,50.7,5.0,9.2,2.0
86.0,480.0,155.0,644.0,9.0,6.0
56.0,61.0,75.0,32.0,31.0,1.0
230.0,15.9,16.3,1.9,2.4,1.0
23.0,63.0,54.0,10.0,0.3,2.0
24.0,34.6,14.2,21.7,0.0001,5.0
54.9,8.8,80.0,2.5,0.001,4.0
716.0,7.1,33.0,20.0,6.8,2.0
109.0,226.0,68.0,192.0,0.001,5.0
195.0,5.3,0.001,0.001,0.001,1.0
8200.0,3790.0,250.0,4620.0,5830.0,3.0
88.7,460.8,94.9,184.6,18.3,5.0
119.0,8.0,20.0,0.001,21.0,2.0
6870.0,1028.0,79.0,900.0,5500.0,2.0
86.0,277.0,63.0,338.0,0.001,6.0
305.0,100.0,33.0,161.0,541.0,2.0
106.0,4.0,2.0,1.0,0.0001,1.0
93.5,131.9,39.0,11.7,0.0001,4.0
56.0,61.0,75.0,32.0,31.0,1.0
34.0,21.0,4.0,49.0,56.0,3.0
295.0,1466.0,331.0,1295.0,32.0,5.0
181.0,262.0,41.0,28.0,0.001,4.0
323.0,115.0,7.0,130.0,446.0,3.0
16.0,98.0,35.0,64.0,0.001,5.0
130.0,140.0,24.0,120.0,0.0001,4.0
117.0,17.0,1.0,3.0,1.0,1.0
