h2,ch4,c2h6,c2h4,c2h2,act
2091,149,20,3,0.001,1
8200,3790,250,4620,277,3
75,15,7,14,250,3
530,345,85,266,21,3
60,5,2,21,32,3
5900,1500,68,1200,800,3
1,27,49,4,1,4
14,14,124,7,1,4
3420,7870,1500,6990,33,6
19.3,103,159,19,0.6,6
27,30,23,2.4,0.1,4
23,63,54,10,0.3,2
21,34,5,47,62,3
160,130,33,96,0.1,5
180,175,75,50,4,5
345,112.3,27.5,51.5,58.8,2
30.4,117,44.2,138,0.1,5
181,262,41,28,0.001,4
173,334,172,812.5,37.7,6
127,107,11,154,224,3
60,40,6.9,110,70,3
220,340,42,480,14,6
170,320,53,520,3.2,6
27,90,42,63,0.2,5
56,286,96,928,7,6
200,48,14,117,131,3
78,161,86,353,10,6
32.4,5.5,1.4,12.6,13.2,3
980,73,58,12,0.001,1
160,130,33,96,0.001,4
650,53,35,20,0.001,1
95,110,160,50,0.001,4
300,490,180,360,95,5
200,700,250,740,1,5
625,130,47,2,0.0001,4
56,61,75,32,31,1
1651,90,33,45,2,1
234.5,30.28,6.11,47.69,175.88,2
18.34,16.26,3.38,17.95,16.42,3
235.46,333.59,177.52,1201.85,148.87,3
505.57,475.35,242.3,524.45,3.29,4
36,30,10,93,7.1,6
