"h2","ch4","c2h6","c2h4","c2h2","act"
"32930","2397","157","0.001","0.001","1"
"37800","1740","249","8","8","1"
"8266","1061","22","0.001","0.001","1"
"9340","995","60","6","7","1"
"36036","4704","554","5","10","1"
"33046","619","58","2","0.001","1"
"40280","1069","1060","1","1","1"
"26788","18342","2111","27","0.001","1"
"92600","10200","0.001","0.001","0.001","1"
"78","20","11","13","28","2"
"305","100","33","161","541","2"
"35","6","3","26","482","2"
"543","120","41","411","1880","2"
"1230","163","27","233","692","2"
"645","86","13","110","317","2"
"60","10","4","4","4","2"
"95","10","0.001","11","39","2"
"6870","1028","79","900","5500","2"
"10092","5399","530","6500","37565","2"
"650","81","170","51","270","2"
"210","22","6","6","7","2"
"385","60","8","53","159","2"
"4230","690","5","196","1180","2"
"595","80","9","89","244","2"
"120","25","1","8","40","2"
"6454","2313","121","2159","6432","2"
"2177","1049","207","440","705","2"
"1790","580","321","336","619","2"
"1330","10","20","66","182","2"
"4","1","2","7","52","2"
"1900","285","31","957","7730","2"
"57","24","2","27","30","2"
"1000","500","1","400","500","2"
"440","89","19","304","757","3"
"210","43","12","102","187","3"
"2850","1115","138","1987","3675","3"
"7020","1850","0.001","2960","4410","3"
"545","130","16","153","239","3"
"7150","1440","97","1210","1760","3"
"620","325","38","181","244","3"
"120","31","0.001","66","94","3"
"755","229","32","404","460","3"
"5100","1430","0.001","1140","1010","3"
"13500","6110","212","4510","4040","3"
"1570","1110","175","1780","1830","3"
"3090","5020","323","3800","2540","3"
"1820","405","35","365","634","3"
"535","160","16","305","680","3"
"13","3","1","3","6","3"
"137","67","7","53","104","3"
"1084","188","8","166","769","3"
"34","21","4","49","56","3"
"7940","2000","355","3120","5390","3"
"150","130","9","55","30","3"
"8200","3790","250","4620","5830","3"
"260","215","35","334","277","3"
"75","15","7","14","26","3"
"530","345","85","266","250","3"
"60","5","2","21","21","3"
"90","28","8","31","32","3"
"220","77","22","170","240","3"
"5900","1500","68","1200","2300","3"
"420","250","41","530","800","3"
"2800","2800","234","3500","3600","3"
"99","170","20","200","190","3"
"310","230","54","610","760","3"
"800","160","23","260","600","3"
"1500","395","28","395","323","3"
"20000","13000","1850","29000","57000","3"
"305","85","25","197","130","3"
"1900","530","35","383","434","3"
"110","62","90","140","250","3"
"3700","1690","128","2810","3270","3"
"2770","660","54","712","763","3"
"245","120","18","131","167","3"
"1170","255","18","312","325","3"
"4419","3564","668","2861","2025","3"
"810","580","111","570","490","3"
"5000","1200","83","1000","1100","3"
"10000","6730","345","7330","10400","3"
"1570","735","87","1330","1740","3"
"8800","64064","72128","95650","0.001","6"
"6709","10500","1400","17700","750","6"
"1100","1600","221","2010","26","6"
"290","966","299","1810","57","6"
"2500","10500","4790","13500","6","6"
"1860","4980","0.001","10700","1600","6"
"860","1670","30","2050","40","6"
"150","22","9","60","11","6"
"400","940","210","820","24","6"
"6","2990","29990","26076","67","6"
"100","200","110","670","11","6"
"290","1260","231","820","8","6"
"1550","2740","816","5450","184","6"
"3910","4290","626","6040","1230","6"
"12705","23498","6047","34257","5188","6"
"1","8","8","100","6","6"
"300","700","280","1700","36","6"
"107","143","34","222","2","6"
