h2,ch4,c2h6,c2h4,c2h2,fault
2240.0,560.0,380.0,450.0,940.0,1
220.0,340.0,42.0,480.0,14.0,6
137.0,6.0,11.4,6.4,16.5,2
9.0,56.0,135.0,7.0,1.0,4
112.0,68.0,136.0,9.0,0.0001,4
60.0,5.0,2.0,21.0,32.0,3
32.4,5.5,1.4,12.6,13.2,3
19.0,12.0,2.0,8.0,63.0,3
43.0,116.0,65.0,139.0,0.0001,5
36.0,21.0,65.0,2.0,0.0001,4
39.4,65.2,103.9,8.1,0.0001,4
137.0,369.0,144.0,1242.0,16.0,6
301.0,5.78,4.7,9.7,5.0,2
230.0,15.9,16.3,1.9,2.4,1
186.0,38.3,13.0,37.0,85.9,2
185.0,302.0,27.0,33.0,0.0001,5
14.0,15.0,42.0,73.0,0.0001,5
1549.2,10.2,0.0001,53.19,0.0001,1
137.0,67.0,7.0,53.0,104.0,3
35.1,50.6,16.1,93.0,1.1,6
1084.0,188.0,8.0,166.0,769.0,3
23.0,63.0,54.0,10.0,0.3,2
113.0,21.0,48.0,0.0001,4.0,1
820.0,1740.0,951.0,867.0,128.0,4
120.0,25.0,1.0,8.0,40.0,2
110.6,458.8,242.6,406.4,0.0001,5
121.0,73.0,179.0,11.0,0.0001,4
155.0,49.0,69.3,42.0,10.7,3
210.0,22.0,6.0,6.0,7.0,2
0.0001,153.0,395.0,11.7,0.0001,4
290.0,966.0,299.0,1810.0,57.0,6
180.0,175.0,75.0,50.0,4.0,5
1458.0,9.0,1812.0,0.0001,0.0001,1
235.0,16.0,0.0001,35.0,0.0001,1
0.0001,106.0,170.0,871.0,6.0,6
0.0001,187.0,609.0,13.0,0.0001,4
407.0,28.0,15.0,21.0,0.0001,1
37.9,7.7,2.16,18.4,33.7,3
15.0,159.0,29.0,87.0,0.0001,5
16.0,98.0,35.0,64.0,0.0001,5
15.0,139.0,160.0,343.0,0.0001,5
219.0,44.0,3.0,3.0,0.0001,4
289.0,13.4,18.2,49.8,36.3,2
7.0,15.0,78.0,58.0,0.0001,4
30.1,17.1,2.2,5.5,30.1,2
156.0,240.0,54.0,399.0,0.98,6
4.1,3.5,0.68,1.2,5.2,2
59.0,119.0,36.0,70.0,0.0001,5
88.5,22.8,108.4,12.0,7.5,3
4879.0,262.0,15.0,332.0,1827.0,2
18.34,16.26,3.38,17.95,16.42,3
13.0,59.0,117.0,44.0,0.0001,4
1270.0,3450.0,520.0,1390.0,8.0,5
220.0,77.0,22.0,170.0,240.0,3
1100.0,1600.0,221.0,2010.0,26.0,6
860.0,1670.0,30.0,2050.0,40.0,6
274.0,27.0,5.0,33.0,97.0,3
18.0,63.0,20.0,51.0,0.0001,5
72.0,442.0,221.0,461.0,0.7,5
50.0,42.0,98.0,10.0,33.0,3
292.0,346.0,32.0,313.0,196.0,3
2587.2,112.25,4.704,1.4,0.0001,1
25.0,49.0,42.0,58.0,0.0001,5
1076.0,95.0,4.0,71.0,231.0,1
107.0,143.0,34.0,222.0,2.0,6
54.0,143.0,23.0,101.0,0.0001,5
63.0,22.0,15.0,11.0,76.0,3
